Nr POS,Nr. Z,Data Ultimei Incasari,Operator Inchidere,Tip Incasare,Valoare,Rest Tichet,Unnamed: 7,Unnamed: 8,Unnamed: 9
1,64,03-Nov-25 20:01:38,14,CARD,-865.9,0,,,-1.0
1,65,04-Nov-25 19:36:14,14,CARD,-641.48,0,,,
1,66,05-Nov-25 20:04:02,14,CARD,-630.99,0,,,
1,67,06-Nov-25 19:37:55,14,CARD,-736.07,0,,,
1,68,07-Nov-25 19:59:05,14,CARD,-479.62,0,,,
1,69,10-Nov-25 19:52:04,14,CARD,-716.04,0,,,
1,70,11-Nov-25 19:47:41,14,CARD,-955.26,0,,,
1,71,12-Nov-25 19:24:08,14,CARD,-749.56,0,,,
1,72,13-Nov-25 19:30:30,14,CARD,-1246.23,0,,,
1,73,14-Nov-25 20:05:37,14,CARD,-991.46,0,,,
1,74,17-Nov-25 19:32:08,14,CARD,-717.34,0,,,
1,75,18-Nov-25 19:16:22,14,CARD,-582.91,0,,,
1,76,19-Nov-25 19:42:43,14,CARD,-902.84,0,,,
1,77,20-Nov-25 19:13:24,14,CARD,-578.18,0,,,
1,78,21-Nov-25 19:38:37,14,CARD,-876.89,0,,,
1,79,24-Nov-25 19:39:41,14,CARD,-460.61,0,,,
1,80,25-Nov-25 19:45:33,14,CARD,-895.13,0,,,
1,81,26-Nov-25 19:35:04,14,CARD,-846.27,0,,,
1,82,27-Nov-25 19:34:50,14,CARD,-870.63,0,,,
1,83,28-Nov-25 20:02:45,14,CARD,-1214.49,0,,,
1,65,04-Nov-25 19:36:14,14,CEC,-47.0,0,,,
1,69,10-Nov-25 19:52:04,14,CEC,-44.0,0,,,
1,70,11-Nov-25 19:47:41,14,CEC,-102.0,0,,,
1,72,13-Nov-25 19:30:30,14,CEC,-42.0,0,,,
1,77,20-Nov-25 19:13:24,14,CEC,-120.0,0,,,
1,79,24-Nov-25 19:39:41,14,CEC,-89.0,0,,,
1,80,25-Nov-25 19:45:33,14,CEC,-62.0,0,,,
1,82,27-Nov-25 19:34:50,14,CEC,-182.0,0,,,
